,ECO_CODE,ECOREGION,PROV_CODE,PROVINCE,RLM_CODE,REALM,mr_mamml
20,20011,Beaufort-Amundsen-Viscount Melville-Queen Maud,1,Arctic,1,Arctic,7
99,20016,Laptev Sea,1,Arctic,1,Arctic,8
225,20030,Adriatic Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,8
24,20044,Black Sea,7,Black Sea,2,Temperate Northern Atlantic,9
232,25010,High Arctic Archipelago,1,Arctic,1,Arctic,10
21,20012,Beaufort Sea - continental coast and shelf,1,Arctic,1,Arctic,11
58,20015,East Siberian Sea,1,Arctic,1,Arctic,11
95,20017,Kara Sea,1,Arctic,1,Arctic,12
98,25009,Lancaster Sound,1,Arctic,1,Arctic,12
128,20087,Northern and Central Red Sea,18,Red Sea and Gulf of Aden,5,Western Indo-Pacific,12
219,20019,White Sea,1,Arctic,1,Arctic,12
226,25032,Levantine Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,12
229,25031,Aegean Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,12
5,20228,Amundsen/Bellingshausen Sea,61,Continental High Antarctic,12,Southern Ocean,13
53,20225,East Antarctic Enderby Land,61,Continental High Antarctic,12,Southern Ocean,13
55,20226,East Antarctic Dronning Maud Land,61,Continental High Antarctic,12,Southern Ocean,13
150,20229,Ross Sea,61,Continental High Antarctic,12,Southern Ocean,13
181,20088,Southern Red Sea,18,Red Sea and Gulf of Aden,5,Western Indo-Pacific,13
199,20227,Weddell Sea,61,Continental High Antarctic,12,Southern Ocean,13
227,25033,Tunisian Plateau/Gulf of Sidra,4,Mediterranean Sea,2,Temperate Northern Atlantic,13
228,25034,Ionian Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,13
17,20024,Baltic Sea,2,Northern European Seas,2,Temperate Northern Atlantic,14
54,20224,East Antarctic Wilkes Land,61,Continental High Antarctic,12,Southern Ocean,14
67,20021,Faroe Plateau,2,Northern European Seas,2,Temperate Northern Atlantic,14
122,20001,North Greenland,1,Arctic,1,Arctic,14
142,20218,Peter the First Island,59,Subantarctic Islands,12,Southern Ocean,14
8,20223,Antarctic Peninsula,60,Scotia Sea,12,Southern Ocean,16
44,20013,Chukchi Sea,1,Arctic,1,Arctic,17
231,25035,Western Mediterranean,4,Mediterranean Sea,2,Temperate Northern Atlantic,17
15,25007,Baffin Bay - Davis Strait,1,Arctic,1,Arctic,18
169,20221,South Orkney Islands,60,Scotia Sea,12,Southern Ocean,18
171,20222,South Shetland Islands,60,Scotia Sea,12,Southern Ocean,18
50,20215,Crozet Islands,59,Subantarctic Islands,12,Southern Ocean,19
104,20212,Macquarie Island,59,Subantarctic Islands,12,Southern Ocean,19
217,20023,Northern Norway and Finnmark,2,Northern European Seas,2,Temperate Northern Atlantic,19
218,20018,North and East Barents Sea,1,Arctic,1,Arctic,19
9,20090,Arabian (Persian) Gulf,19,Somali/Arabian,5,Western Indo-Pacific,20
91,20008,Hudson Complex,1,Arctic,1,Arctic,20
144,20216,Prince Edward Islands,59,Subantarctic Islands,12,Southern Ocean,20
170,20219,South Sandwich Islands,60,Scotia Sea,12,Southern Ocean,20
214,20020,South and West Iceland,2,Northern European Seas,2,Temperate Northern Atlantic,20
216,20022,Southern Norway,2,Northern European Seas,2,Temperate Northern Atlantic,20
4,20194,Amsterdam-St Paul,52,Amsterdam-St Paul,10,Temperate Southern Africa,21
27,20217,Bouvet Island,59,Subantarctic Islands,12,Southern Ocean,21
89,20213,Heard and Macdonald Islands,59,Subantarctic Islands,12,Southern Ocean,21
102,20155,Line Islands,39,Central Polynesia,7,Eastern Indo-Pacific,22
143,20156,Phoenix/Tokelau/Northern Cook Islands,39,Central Polynesia,7,Eastern Indo-Pacific,22
152,20157,Samoa Islands,39,Central Polynesia,7,Eastern Indo-Pacific,22
190,20146,Tonga Islands,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,22
213,20002,North and East Iceland,1,Arctic,1,Arctic,22
230,25036,Alboran Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,22
28,20231,Campbell Island,62,Subantarctic New Zealand,12,Southern Ocean,23
31,20097,Cargados Carajos/Tromelin Island,20,Western Indian Ocean,5,Western Indo-Pacific,23
39,20106,Chagos,22,Central Indian Ocean Islands,5,Western Indo-Pacific,23
41,25198,Chatham Island,54,Southern New Zealand,11,Temperate Australasia,23
57,20003,East Greenland Shelf,1,Arctic,1,Arctic,23
97,25195,Kermadec Island,53,Northern New Zealand,11,Temperate Australasia,23
113,20098,Mascarene Islands,20,Western Indian Ocean,5,Western Indo-Pacific,23
200,20004,West Greenland Shelf,1,Arctic,1,Arctic,23
207,20050,Yellow Sea,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,23
2,20053,Aleutian Islands,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,24
59,20163,Easter Island,42,Easter Island,7,Eastern Indo-Pacific,24
69,25147,Fiji Islands,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,24
134,20006,Northern Labrador,1,Arctic,1,Arctic,24
166,20220,South Georgia,60,Scotia Sea,12,Southern Ocean,24
13,20232,Auckland Island,62,Subantarctic New Zealand,12,Southern Ocean,25
30,20079,Cape Verde,16,West African Transition,4,Tropical Atlantic,25
33,20026,Celtic Seas,2,Northern European Seas,2,Temperate Northern Atlantic,25
71,25154,Gilbert/Ellis Islands,38,"Marshall, Gilbert and Ellis Islands",7,Eastern Indo-Pacific,25
93,20179,Juan Fernandez and Desventuradas,46,Juan Fern ndez and Desventuradas,9,Temperate South America,25
96,20214,Kerguelen Islands,59,Subantarctic Islands,12,Southern Ocean,25
110,20123,Mariana Islands,29,Tropical Northwestern Pacific,6,Central Indo-Pacific,25
112,20153,Marshall Islands,38,"Marshall, Gilbert and Ellis Islands",7,Eastern Indo-Pacific,25
153,20073,Sao Pedro and Sao Paulo Islands,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,25
191,20077,Trindade and Martin Vaz Islands,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,25
22,20062,Bermuda,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,26
38,20093,Central Somali Coast,19,Somali/Arabian,5,Western Indo-Pacific,26
46,20120,Cocos-Keeling/Christmas Island,27,Java Transitional,6,Central Indo-Pacific,26
52,20124,East Caroline Islands,29,Tropical Northwestern Pacific,6,Central Indo-Pacific,26
60,25014,Eastern Bering Sea,1,Arctic,1,Arctic,26
75,20089,Gulf of Aden,18,Red Sea and Gulf of Aden,5,Western Indo-Pacific,26
88,25152,Hawaii,37,Hawaii,7,Eastern Indo-Pacific,26
111,20158,Tuamotus,40,Southeast Polynesia,7,Eastern Indo-Pacific,26
118,20149,New Caledonia,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,26
146,20159,Rapa-Pitcairn,40,Southeast Polynesia,7,Eastern Indo-Pacific,26
157,20096,Seychelles,20,Western Indian Ocean,5,Western Indo-Pacific,26
160,20161,Society Islands,40,Southeast Polynesia,7,Eastern Indo-Pacific,26
161,20135,Solomon Archipelago,31,Eastern Coral Triangle,6,Central Indo-Pacific,26
184,20078,St. Helena and Ascension Islands,15,St. Helena and Ascension Islands,4,Tropical Atlantic,26
187,20094,Northern Monsoon Current Coast,20,Western Indian Ocean,5,Western Indo-Pacific,26
193,20162,Marquesas,41,Marquesas,7,Eastern Indo-Pacific,26
196,20148,Vanuatu,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,26
198,20125,West Caroline Islands,29,Tropical Northwestern Pacific,6,Central Indo-Pacific,26
215,20025,North Sea,2,Northern European Seas,2,Temperate Northern Atlantic,26
221,20160,Southern Cook/Austral Islands,40,Southeast Polynesia,7,Eastern Indo-Pacific,26
23,20134,Bismarck Sea,31,Eastern Coral Triangle,6,Central Indo-Pacific,27
26,25230,Bounty and Antipodes Islands,62,Subantarctic New Zealand,12,Southern Ocean,27
42,20167,Chiapas-Nicaragua,43,Tropical East Pacific,8,Tropical Eastern Pacific,27
45,20165,Clipperton,43,Tropical East Pacific,8,Tropical Eastern Pacific,27
47,20169,Cocos Islands,43,Tropical East Pacific,8,Tropical Eastern Pacific,27
68,20074,Fernando de Naronha and Atoll das Rocas,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,27
82,20091,Gulf of Oman,19,Somali/Arabian,5,Western Indo-Pacific,27
86,20112,Gulf of Tonkin,25,South China Sea,6,Central Indo-Pacific,27
107,20105,Maldives,22,Central Indian Ocean Islands,5,Western Indo-Pacific,27
119,20168,Nicoya,43,Tropical East Pacific,8,Tropical Eastern Pacific,27
120,20145,Ningaloo,34,Northwest Australian Shelf,6,Central Indo-Pacific,27
124,20133,Northeast Sulawesi,30,Western Coral Triangle,6,Central Indo-Pacific,27
133,20043,Northern Gulf of Mexico,6,Warm Temperate Northwest Atlantic,2,Temperate Northern Atlantic,27
135,20122,Ogasawara Islands,29,Tropical Northwestern Pacific,6,Central Indo-Pacific,27
162,20136,Solomon Sea,31,Eastern Coral Triangle,6,Central Indo-Pacific,27
164,20114,South China Sea Oceanic Islands,25,South China Sea,6,Central Indo-Pacific,27
172,20099,Southeast Madagascar,20,Western Indian Ocean,5,Western Indo-Pacific,27
173,20137,Southeast Papua New Guinea,31,Eastern Coral Triangle,6,Central Indo-Pacific,27
186,20095,East African Coral Coast,20,Western Indian Ocean,5,Western Indo-Pacific,27
188,20101,Bight of Sofala/Swamp Coast,20,Western Indian Ocean,5,Western Indo-Pacific,27
201,20100,Western and Northern Madagascar,20,Western Indian Ocean,5,Western Indo-Pacific,27
202,20092,Western Arabian Sea,19,Somali/Arabian,5,Western Indo-Pacific,27
11,20140,Arnhem Coast to Gulf of Carpenteria,32,Sahul Shelf,6,Central Indo-Pacific,28
25,20141,Bonaparte Coast,32,Sahul Shelf,6,Central Indo-Pacific,28
48,20150,Coral Sea,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,28
65,20127,Eastern Philippines,30,Western Coral Triangle,6,Central Indo-Pacific,28
66,20144,Exmouth to Broome,34,Northwest Australian Shelf,6,Central Indo-Pacific,28
73,20171,Guayaquil,43,Tropical East Pacific,8,Tropical Eastern Pacific,28
76,20054,Gulf of Alaska,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,28
77,20083,Gulf of Guinea Central,17,Gulf of Guinea,4,Tropical Atlantic,28
78,20084,Gulf of Guinea Islands,17,Gulf of Guinea,4,Tropical Atlantic,28
79,20082,Gulf of Guinea Upwelling,17,Gulf of Guinea,4,Tropical Atlantic,28
80,25081,Gulf of Guinea West,17,Gulf of Guinea,4,Tropical Atlantic,28
83,20138,Gulf of Papua,32,Sahul Shelf,6,Central Indo-Pacific,28
85,20115,Gulf of Thailand,26,Sunda Shelf,6,Central Indo-Pacific,28
94,25046,Kamchatka Shelf and Coast,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,28
106,20118,Malacca Strait,26,Sunda Shelf,6,Central Indo-Pacific,28
125,20075,Northeastern Brazil,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,28
145,25056,Puget Trough/Georgia Basin,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,28
147,20164,Revillagigedos,43,Tropical East Pacific,8,Tropical Eastern Pacific,28
156,20045,Sea of Okhotsk,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,28
167,20104,South India and Sri Lanka,21,West and South Indian Shelf,5,Western Indo-Pacific,28
178,20038,Southern Grand Banks - South Newfoundland,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,28
179,20069,Southern Gulf of Mexico,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,28
192,20189,Tristan Gough,49,Tristan Gough,9,Temperate South America,28
204,20068,Western Caribbean,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,28
206,20103,Western India,21,West and South Indian Shelf,5,Western Indo-Pacific,28
209,20111,Western Sumatra,24,Andaman,5,Western Indo-Pacific,28
210,20142,Torres Strait Northern Great Barrier Reef,33,Northeast Australian Shelf,6,Central Indo-Pacific,28
211,20143,Central and Southern Great Barrier Reef,33,Northeast Australian Shelf,6,Central Indo-Pacific,28
220,20065,Greater Antilles,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,28
222,25085,Gulf of Guinea South,17,Gulf of Guinea,4,Tropical Atlantic,28
6,20109,Andaman and Nicobar Islands,24,Andaman,5,Western Indo-Pacific,29
7,20110,Andaman Sea Coral Coast,24,Andaman,5,Western Indo-Pacific,29
12,20139,Arafura Sea,32,Sahul Shelf,6,Central Indo-Pacific,29
18,20131,Banda Sea,30,Western Coral Triangle,6,Central Indo-Pacific,29
61,20076,Eastern Brazil,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,29
62,20064,Eastern Caribbean,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,29
63,20173,Eastern Galapagos Islands,44,Galapagos,8,Tropical Eastern Pacific,29
64,20107,Eastern India,23,Bay of Bengal,5,Western Indo-Pacific,29
87,20129,Halmahera,30,Western Coral Triangle,6,Central Indo-Pacific,29
101,20132,Lesser Sunda,30,Western Coral Triangle,6,Central Indo-Pacific,29
121,25055,North American Pacific Fijordland,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,29
131,20172,Northern Galapagos Islands,44,Galapagos,8,Tropical Eastern Pacific,29
137,20047,Oyashio Current,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,29
138,20126,Palawan/North Borneo,30,Western Coral Triangle,6,Central Indo-Pacific,29
140,20130,Papua,30,Western Coral Triangle,6,Central Indo-Pacific,29
154,20039,Scotian Shelf,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,29
165,20027,South European Atlantic Shelf,3,Lusitanian,2,Temperate Northern Atlantic,29
176,20066,Southern Caribbean,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,29
177,20113,Southern China,25,South China Sea,6,Central Indo-Pacific,29
182,20116,Southern Vietnam,26,Sunda Shelf,6,Central Indo-Pacific,29
185,20128,Sulawesi Sea/Makassar Strait,30,Western Coral Triangle,6,Central Indo-Pacific,29
205,20174,Western Galapagos Islands,44,Galapagos,8,Tropical Eastern Pacific,29
208,20119,Southern Java,27,Java Transitional,6,Central Indo-Pacific,29
223,25086,Angolan,17,Gulf of Guinea,4,Tropical Atlantic,29
3,20072,Amazonia,13,North Brazil Shelf,4,Tropical Atlantic,30
14,20029,Azores Canaries Madeira,3,Lusitanian,2,Temperate Northern Atlantic,30
16,20063,Bahamian,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,30
74,20071,Guianan,13,North Brazil Shelf,4,Tropical Atlantic,30
84,20037,Gulf of St. Lawrence - Eastern Scotian Shelf,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,30
114,20166,Mexican Tropical Pacific,43,Tropical East Pacific,8,Tropical Eastern Pacific,30
129,20108,Northern Bay of Bengal,23,Bay of Bengal,5,Western Indo-Pacific,30
132,20005,Northern Grand Banks - Southern Labrador,1,Arctic,1,Arctic,30
158,20210,Shark Bay,58,West Central Australian Shelf,11,Temperate Australasia,30
159,20201,Snares Island,54,Southern New Zealand,11,Temperate Australasia,30
168,20121,South Kuroshio,28,South Kuroshio,6,Central Indo-Pacific,30
183,20067,Southwestern Caribbean,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,30
212,20117,Sunda Shelf/Java Sea,26,Sunda Shelf,6,Central Indo-Pacific,30
224,25080,Sahelian Upwelling,16,West African Transition,4,Tropical Atlantic,30
34,20177,Central Chile,45,Warm Temperate Southeastern Pacific,9,Temperate South America,31
70,20070,Floridian,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,31
108,20186,Malvinas/Falklands,48,Magellanic,9,Temperate South America,31
136,25057,"Oregon, Washington, Vancouver Coast and Shelf",10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,31
151,20028,Saharan Upwelling,3,Lusitanian,2,Temperate Northern Atlantic,31
10,20178,Araucanian,45,Warm Temperate Southeastern Pacific,9,Temperate South America,32
19,20205,Bassian,56,Southeast Australian Shelf,11,Temperate Australasia,32
43,20188,Chiloense,48,Magellanic,9,Temperate South America,32
49,20060,Cortezian,11,Warm Temperate Northeast Pacific,3,Temperate Northern Pacific,32
103,20151,Lord Howe and Norfolk Islands,36,Lord Howe and Norfolk Islands,6,Central Indo-Pacific,32
139,20170,Panama Bight,43,Tropical East Pacific,8,Tropical Eastern Pacific,32
174,20180,Southeastern Brazil,47,Warm Temperate Southwestern Atlantic,9,Temperate South America,32
32,25042,Carolinian,6,Warm Temperate Northwest Atlantic,2,Temperate Northern Atlantic,33
40,20187,Channels and Fjords of Southern Chile,48,Magellanic,9,Temperate South America,33
72,20208,Great Australian Bight,57,Southwest Australian Shelf,11,Temperate Australasia,33
123,25184,North Patagonian Gulfs,48,Magellanic,9,Temperate South America,33
163,20207,South Australian Gulfs,57,Southwest Australian Shelf,11,Temperate Australasia,33
189,20197,Three Kings-North Cape,53,Northern New Zealand,11,Temperate Australasia,33
194,20202,Tweed-Moreton,55,East Central Australian Shelf,11,Temperate Australasia,33
51,20102,Delagoa,20,Western Indian Ocean,5,Western Indo-Pacific,34
56,20052,East China Sea,9,Warm Temperate Northwest Pacific,3,Temperate Northern Pacific,34
81,25040,Gulf of Maine/Bay of Fundy,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,34
90,20211,Houtman,58,West Central Australian Shelf,11,Temperate Australasia,34
105,20061,Magdalena Transition,11,Warm Temperate Northeast Pacific,3,Temperate Northern Pacific,34
116,25190,Namib,50,Benguela,10,Temperate Southern Africa,34
141,25185,Patagonian Shelf,48,Magellanic,9,Temperate South America,34
148,20182,Rio de la Plata,47,Warm Temperate Southwestern Atlantic,9,Temperate South America,34
203,20206,Western Bassian,56,Southeast Australian Shelf,11,Temperate Australasia,34
37,20175,Central Peru,45,Warm Temperate Southeastern Pacific,9,Temperate South America,35
109,20203,Manning-Hawkesbury,55,East Central Australian Shelf,11,Temperate Australasia,35
180,20200,South New Zealand,54,Southern New Zealand,11,Temperate Australasia,35
100,20209,Leeuwin,57,Southwest Australian Shelf,11,Temperate Australasia,36
127,25196,Northeastern New Zealand,53,Northern New Zealand,11,Temperate Australasia,36
130,25058,Northern California,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,36
149,20181,Rio Grande,47,Warm Temperate Southwestern Atlantic,9,Temperate South America,36
36,25199,Central New Zealand,54,Southern New Zealand,11,Temperate Australasia,37
92,20176,Humboldtian,45,Warm Temperate Southeastern Pacific,9,Temperate South America,37
126,20048,Northeastern Honshu,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,37
197,20041,Virginian,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,37
29,20204,Cape Howe,56,Southeast Australian Shelf,11,Temperate Australasia,38
1,20192,Agulhas Bank,51,Agulhas,10,Temperate Southern Africa,39
35,20051,Central Kuroshio Current,9,Warm Temperate Northwest Pacific,3,Temperate Northern Pacific,39
115,20191,Namaqua,50,Benguela,10,Temperate Southern Africa,39
117,20193,Natal,51,Agulhas,10,Temperate Southern Africa,39
155,20049,Sea of Japan/East Sea,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,39
175,25059,Southern California Bight,11,Warm Temperate Northeast Pacific,3,Temperate Northern Pacific,39
195,20183,Uruguay-Buenos Aires Shelf,47,Warm Temperate Southwestern Atlantic,9,Temperate South America,39
